date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,80.84,102.96,82.64,81.84,96.36,7.787,11
2024-12-15T00:00:00.000Z,53.39,97.03,66.09,62.61,69.7,10.596,24
2024-12-16T00:00:00.000Z,47.22,84.42,60.9,57.49,67.34,8.845,24
2024-12-17T00:00:00.000Z,54.9,138.34,76.03,64.01,89.01,18.942,24
2024-12-18T00:00:00.000Z,60.56,120.08,88.8,62.57,94.91,17.805,24
2024-12-19T00:00:00.000Z,65.09,112.11,77.54,72.43,93.46,13.733,24
2024-12-20T00:00:00.000Z,2.61,9689.06,65.59,49.94,73.48,2098.96,20
2024-12-21T00:00:00.000Z,51.38,88.53,60.37,56.57,74.89,10.618,24
2024-12-22T00:00:00.000Z,58.08,130.65,70.48,59.86,94.88,21.004,24
2024-12-23T00:00:00.000Z,56.93,147.34,78.7,62.36,99.84,25.955,24
2024-12-24T00:00:00.000Z,62.18,147.15,69.84,64.4,95.91,23.567,24
2024-12-25T00:00:00.000Z,62.07,160.69,69.04,65.16,87.13,24.89,24
2024-12-26T00:00:00.000Z,62.1,119.29,74.8,66.98,95.17,15.818,24
2024-12-27T00:00:00.000Z,62.92,118.2,81.93,72.53,93.5,16.234,24
2024-12-28T00:00:00.000Z,60.88,121.24,68.45,63.58,82.78,15.823,24
2024-12-29T00:00:00.000Z,64.51,131.74,88.52,68.76,97.53,16.773,21
2024-12-30T00:00:00.000Z,81.91,111.6,90.24,85.22,98.98,9.36,22
2024-12-31T00:00:00.000Z,75.92,100.15,80.95,77.65,85.34,5.983,24
2025-01-01T00:00:00.000Z,73.52,94.85,83.78,80.48,87.24,5.129,24
2025-01-02T00:00:00.000Z,59.01,83.81,76.26,72.48,80.4,6.74,24
2025-01-03T00:00:00.000Z,61.13,86.1,78.98,73.03,84.13,8.197,24
2025-01-04T00:00:00.000Z,67.41,91.35,79.73,74.36,86.78,7.41,24
2025-01-05T00:00:00.000Z,67.54,111.39,75.77,72.09,80.73,11.002,24
2025-01-06T00:00:00.000Z,61.69,112.07,71.48,69.23,74.91,12.459,24
2025-01-07T00:00:00.000Z,56.45,104.64,71.68,63.72,79.73,11.986,24
2025-01-08T00:00:00.000Z,53.94,84.06,67.27,60.72,72.81,7.437,24
2025-01-09T00:00:00.000Z,58.77,103.14,71.06,64.22,87.18,13.314,24
2025-01-10T00:00:00.000Z,62.19,116.74,73.93,66.84,89.53,15.86,24
2025-01-11T00:00:00.000Z,58.7,127.12,76.69,66.75,91.98,18.399,24
2025-01-12T00:00:00.000Z,59.77,124.66,70.3,64.01,84.11,16.446,24
2025-01-13T00:00:00.000Z,59.71,132.9,80.17,66,93.67,19.477,22
2025-01-14T00:00:00.000Z,68.61,129.97,83.47,73.3,99.31,16.919,19
2025-01-15T00:00:00.000Z,69.98,107.6,89.75,86.04,97.42,9.35,24
2025-01-16T00:00:00.000Z,81.18,106.84,91.01,88.46,96.75,6.464,24
2025-01-17T00:00:00.000Z,78.09,122.78,97.04,83.22,105.02,12.346,24
